PID,TrackName,CarName,EventDate,Lap,LapTime,Corr Speed kmh_Min,Corr Speed kmh_Max,Corr Speed kmh_Avg,Corr Speed kmh_Start,Corr Speed kmh_End,Corr Speed kmh_Std Dev,BRAKE _Min,BRAKE _Max,BRAKE _Avg,BRAKE _Start,BRAKE _End,BRAKE _Std Dev,Oversteer _Min,Oversteer _Max,Oversteer _Avg,Oversteer _Start,Oversteer _End,Oversteer _Std Dev,ROTY s_Min,ROTY s_Max,ROTY s_Avg,ROTY s_Start,ROTY s_End,ROTY s_Std Dev,THROTTLE _Min,THROTTLE _Max,THROTTLE _Avg,THROTTLE _Start,THROTTLE _End,THROTTLE _Std Dev,abs glat_Max,abs glat_Avg,abs glat_Start,abs glat_End,abs glat_Std Dev,abs glong_Min,abs glong_Max,abs glong_Avg,abs glong_Start,abs glong_End,abs glong_Std Dev,abs Steerangle_Min,abs Steerangle_Max,abs Steerangle_Avg,abs Steerangle_Start,abs Steerangle_End,abs Steerangle_Std Dev,lane deviation_Min,lane deviation_Max,lane deviation_Avg,lane deviation_Start,lane deviation_End,lane deviation_Std Dev,steering reversal rate per lap_Min,steering reversal rate per lap_Max,steering reversal rate per lap_Avg,steering reversal rate per lap_Start,steering reversal rate per lap_End,steering reversal rate per lap_Std Dev,steering reversal rate per sector_Min,steering reversal rate per sector_Max,steering reversal rate per sector_Avg,steering reversal rate per sector_Start,steering reversal rate per sector_End,steering reversal rate per sector_Std Dev,understeer_Min,understeer_Max,understeer_Avg,understeer_Start,understeer_End,understeer_Change,understeer_Std Dev,z,outlier,validlap,cluster_label
P135,"Laguna_Seca, Laguna_Seca",", McLaren 720S GT3","20/10/2024, ",Lap 2,88.514,58.8,230.6,145.4,193.3,193.7,39.7,0.0,100.0,15.0,0.0,0.0,31.0,-5.73,5.97,-1.25,-0.5,-0.3,1.35,-68.54,56.28,4.02,3.63,0.91,17.41,0.0,100.0,70.0,100.0,100.0,41.0,3.38,0.79,0.29,0.05,0.58,0.0,2.01,0.47,0.24,0.26,0.37,-0.0,135.53,27.16,6.8,3.63,28.11,0.0,1.0,0.26,0.0,0.0,0.44,0.0,23.12,11.04,0.0,16.18,7.0,0.0,3.97,0.46,0.12,0.0,0.7,0.0,5.73,1.29,0.5,0.3,-0.2,1.25,-0.891392789653217,0,1,Fast
P135,"Laguna_Seca, Laguna_Seca",", McLaren 720S GT3","20/10/2024, ",Lap 3,87.907,65.6,230.3,146.1,193.7,193.6,38.7,0.0,100.0,14.0,0.0,0.0,31.0,-5.97,1.43,-1.32,-0.3,-0.06,1.27,-43.74,59.76,4.08,0.91,0.04,17.24,0.0,100.0,71.0,100.0,100.0,41.0,2.72,0.8,0.05,0.03,0.57,0.0,2.15,0.47,0.26,0.26,0.38,-0.0,119.73,27.29,3.63,0.73,26.62,0.0,1.0,0.26,0.0,0.0,0.44,0.0,22.48,10.77,16.18,6.3,6.94,0.0,3.32,0.48,0.0,0.02,0.64,0.0,5.97,1.33,0.3,0.06,-0.24,1.25,-0.9318809676218364,0,1,Fast
P135,"Laguna_Seca, Laguna_Seca",", McLaren 720S GT3","20/10/2024, ",Lap 4,87.569,61.8,229.6,146.0,193.6,193.8,39.3,0.0,100.0,14.0,0.0,0.0,31.0,-5.77,2.02,-1.26,-0.06,-0.19,1.2,-48.04,55.7,4.1,0.04,0.97,17.31,0.0,100.0,70.0,100.0,100.0,41.0,3.21,0.8,0.03,0.1,0.58,0.0,1.97,0.47,0.26,0.25,0.38,-0.0,125.92,26.84,0.73,2.39,26.23,0.0,1.0,0.23,0.0,0.0,0.42,0.0,20.1,9.68,6.3,2.81,6.17,0.0,3.47,0.35,0.02,0.0,0.67,0.0,5.77,1.28,0.06,0.19,0.13,1.17,-0.954426279241924,0,0,Fast
P135,"Laguna_Seca, Laguna_Seca",", McLaren 720S GT3","20/10/2024, ",Lap 5,86.887,65.0,229.3,147.5,193.8,193.2,39.0,0.0,100.0,14.0,0.0,0.0,31.0,-8.18,9.8,-1.34,-0.19,-0.09,1.53,-59.92,52.69,4.12,0.97,0.49,17.96,0.0,100.0,70.0,100.0,100.0,41.0,2.86,0.83,0.1,0.04,0.59,0.0,2.1,0.46,0.25,0.25,0.38,-0.0,167.41,28.55,2.39,1.03,28.97,0.0,1.0,0.25,0.0,0.0,0.43,0.0,21.72,10.31,2.81,19.98,6.64,0.0,3.52,0.37,0.0,0.08,0.67,0.0,8.18,1.39,0.19,0.09,-0.09,1.38,-0.9999171151144096,0,0,Fast
P135,"Laguna_Seca, Laguna_Seca",", McLaren 720S GT3","20/10/2024, ",Lap 6,94.697,0.0,229.3,136.6,193.2,193.4,52.0,0.0,100.0,16.0,0.0,0.0,34.0,-7.28,20.72,-1.07,-0.09,-0.27,2.5,-38.64,75.15,3.77,0.49,1.63,17.34,0.0,100.0,69.0,100.0,100.0,42.0,2.94,0.76,0.04,0.11,0.6,0.0,2.16,0.47,0.25,0.25,0.38,-0.0,197.53,33.34,1.03,3.52,38.4,0.0,1.0,0.26,0.0,0.0,0.44,0.0,24.4,10.78,19.98,2.44,7.27,0.0,4.2,0.49,0.08,0.2,0.8,0.0,7.28,1.31,0.09,0.27,0.18,1.42,-0.4789736720585296,0,0,Fast
P135,"Laguna_Seca, Laguna_Seca",", McLaren 720S GT3","20/10/2024, ",Lap 7,90.384,28.7,230.0,141.8,193.4,193.0,43.1,0.0,100.0,15.0,0.0,0.0,32.0,-5.52,17.47,-0.94,-0.27,-0.28,2.51,-51.75,53.85,3.97,1.63,1.74,17.74,0.0,100.0,71.0,100.0,100.0,41.0,2.53,0.79,0.11,0.13,0.58,0.0,2.02,0.47,0.25,0.25,0.36,-0.0,158.31,29.21,3.52,3.66,29.15,0.0,1.0,0.29,0.0,0.0,0.45,0.0,26.22,12.39,2.44,1.57,8.29,0.0,3.4,0.68,0.2,0.18,0.8,0.0,5.52,1.27,0.27,0.28,0.01,1.19,-0.766659852583499,0,1,Fast
P135,"Laguna_Seca, Laguna_Seca",", McLaren 720S GT3","20/10/2024, ",Lap 8,89.842,53.9,228.3,143.1,193.0,191.2,38.1,0.0,100.0,13.0,0.0,0.0,30.0,-6.13,2.27,-1.31,-0.28,-0.16,1.27,-54.5,49.92,3.99,1.74,0.72,17.18,0.0,100.0,66.0,100.0,100.0,42.0,2.34,0.78,0.13,0.07,0.58,0.0,1.91,0.45,0.25,0.24,0.37,-0.0,139.03,27.21,3.66,1.95,27.35,0.0,1.0,0.27,0.0,0.0,0.45,0.0,24.68,12.09,1.57,13.33,7.65,0.0,3.55,0.63,0.18,0.0,0.76,0.0,6.13,1.33,0.28,0.16,-0.12,1.24,-0.8028123937021018,0,1,Fast
P135,"Laguna_Seca, Laguna_Seca",", McLaren 720S GT3","20/10/2024, ",Lap 9,87.049,68.6,228.6,147.2,191.2,192.6,38.3,0.0,100.0,14.0,0.0,0.0,31.0,-5.23,6.31,-1.29,-0.16,-0.18,1.35,-49.17,57.57,4.11,0.72,0.86,17.48,0.0,100.0,70.0,100.0,100.0,40.0,2.69,0.82,0.07,0.03,0.58,0.0,2.04,0.46,0.24,0.26,0.37,-0.0,105.73,27.36,1.95,2.26,26.01,0.0,1.0,0.26,0.0,0.0,0.44,0.0,22.85,10.43,13.33,13.71,6.86,0.0,3.57,0.39,0.0,0.23,0.68,0.0,5.23,1.34,0.16,0.18,0.02,1.24,-0.9891113740420592,0,1,Fast
P135,"Laguna_Seca, Laguna_Seca",", McLaren 720S GT3","20/10/2024, ",Lap 10,88.144,65.0,229.4,145.3,192.6,193.5,38.5,0.0,100.0,14.0,0.0,0.0,31.0,-5.76,1.31,-1.29,-0.18,-0.07,1.24,-50.42,72.76,4.07,0.86,0.35,17.36,0.0,100.0,68.0,100.0,100.0,42.0,2.99,0.8,0.03,0.02,0.57,0.0,1.91,0.46,0.26,0.25,0.36,-0.0,126.93,26.93,2.26,0.94,26.46,0.0,1.0,0.24,0.0,0.0,0.43,0.0,21.37,10.23,13.71,20.51,6.53,0.0,3.6,0.44,0.23,0.15,0.64,0.0,5.76,1.3,0.18,0.07,-0.11,1.23,-0.9160725686456204,0,1,Fast
P135,"Laguna_Seca, Laguna_Seca",", McLaren 720S GT3","20/10/2024, ",Lap 11,87.196,66.9,230.1,146.9,193.5,192.5,39.1,0.0,100.0,14.0,0.0,0.0,32.0,-6.61,1.57,-1.3,-0.07,-0.14,1.23,-52.63,70.23,4.12,0.35,0.61,17.5,0.0,100.0,70.0,100.0,100.0,42.0,3.04,0.82,0.02,0.05,0.57,0.0,1.99,0.46,0.25,0.26,0.38,-0.0,140.68,27.26,0.94,1.71,26.25,0.0,1.0,0.22,0.0,0.0,0.41,0.0,20.51,8.98,20.51,3.83,5.74,0.0,3.23,0.35,0.15,0.2,0.6,0.0,6.61,1.32,0.07,0.14,0.07,1.21,-0.979306164550483,0,1,Fast
