Sector,reference_sector_time,total_clean_records,reference_records
Str 0-1 (End),6.974679999999999,840,168
Str 0-1 (Start),2.4643854999999997,861,172
Str 1-2,4.1890495,813,162
Str 2-3,3.315595,770,154
Str 3-4,2.684,859,171
Str 4-5,3.8400835,854,170
Str 5-6,2.729095,848,169
Str 7-8,1.948521,782,156
Str 8-9,2.628,853,170
Str 9-10,3.0941314999999996,850,170
Turn 1,4.159,863,172
Turn 10,2.3674999999999997,853,170
Turn 2,3.167,849,169
Turn 3,2.48,834,166
Turn 4,3.627,854,170
Turn 5,2.537,858,171
Turn 6,2.3015,862,172
Turn 7,1.894,777,155
Turn 8,2.062,856,171
Turn 9,2.736306,807,161
