PID,TrackName,CarName,EventDate,Lap,LapTime,Sector,SectorTime,BRAKE _Min,BRAKE _Max,BRAKE _Avg,BRAKE _Start,BRAKE _End,BRAKE _Std Dev,Corr Speed kmh_Min,Corr Speed kmh_Max,Corr Speed kmh_Avg,Corr Speed kmh_Start,Corr Speed kmh_End,Corr Speed kmh_Std Dev,Oversteer _Min,Oversteer _Max,Oversteer _Avg,Oversteer _Start,Oversteer _End,Oversteer _Std Dev,ROTY s_Min,ROTY s_Max,ROTY s_Avg,ROTY s_Start,ROTY s_End,ROTY s_Std Dev,THROTTLE _Min,THROTTLE _Max,THROTTLE _Avg,THROTTLE _Start,THROTTLE _End,THROTTLE _Std Dev,abs glat_Max,abs glat_Avg,abs glat_Start,abs glat_End,abs glat_Std Dev,abs glong_Min,abs glong_Max,abs glong_Avg,abs glong_Start,abs glong_End,abs glong_Std Dev,abs Steerangle_Min,abs Steerangle_Max,abs Steerangle_Avg,abs Steerangle_Start,abs Steerangle_End,abs Steerangle_Std Dev,lane deviation_Min,lane deviation_Max,lane deviation_Avg,lane deviation_Start,lane deviation_End,lane deviation_Std Dev,steering reversal rate per lap_Min,steering reversal rate per lap_Max,steering reversal rate per lap_Avg,steering reversal rate per lap_Start,steering reversal rate per lap_End,steering reversal rate per lap_Std Dev,steering reversal rate per sector_Min,steering reversal rate per sector_Max,steering reversal rate per sector_Avg,steering reversal rate per sector_Start,steering reversal rate per sector_End,steering reversal rate per sector_Std Dev,understeer_Min,understeer_Max,understeer_Avg,understeer_Start,understeer_End,understeer_Change,understeer_Std Dev,z,outlier,validlap,cluster,cluster_label,Sector_Length,Sector_Start,THROTTLE width_Avg,Throttle_duration_Avg,Throttle application speed_Avg,Throttle release application_Avg,Steer_Peakvalue_Avg,Steer_PeakTime_Avg,number of crossing,cumulative angular travel,number of direction changed,Steering velocity_Avg,Brake_length_Avg,Brake_duration_Avg,Trail_braking_duration_Avg,Type,outlier_lower_limit,outlier_upper_limit,outlier_reason
P112,"Laguna_Seca, Laguna_Seca",", McLaren 720S GT3","25/08/2024, ",Lap 2,114.947,Str 0-1 (End),10.783,0.0,69.0,15.0,0.0,0.0,25.0,102.2,204.4,147.6,189.8,103.1,35.9,-2.93,1.26,-0.55,-0.67,-2.93,0.7,-7.84,33.26,6.12,3.79,30.68,7.2,0.0,100.0,36.0,100.0,0.0,35.0,1.5,0.42,0.31,1.5,0.35,0.0,1.33,0.37,0.27,0.1,0.42,0.0,61.61,12.26,9.57,61.61,11.94,0.0,1.0,0.04,0.0,1.0,0.19,0.0,0.42,0.01,0.0,0.42,0.88,0.62,1.03,0.63,0.62,0.96,0.05,0.0,2.93,0.61,0.67,2.93,2.26,0.61,0.871743962,0,1,0,Slow,436,436,4.0,0.08,-237.1031366,5,16.11,0.592,13,324.0,28,2.576112412,12.26666667,0.3,0.14,,5.223151250000003,10.763309249999997,SectorTime outside section-specific IQR limits
P098,"Laguna_Seca, Laguna_Seca",", McLaren 720S GT3","24/08/2024, ",Lap 4,128.237,Str 0-1 (End),10.952,0.0,95.0,23.0,0.0,81.0,30.0,96.5,191.1,149.3,178.6,96.5,24.8,-7.22,0.16,-0.73,-0.26,-7.22,1.12,-1.61,41.6,6.74,2.4,34.08,8.53,0.0,100.0,56.0,100.0,0.0,37.0,1.6,0.41,0.22,1.39,0.36,0.0,1.58,0.51,0.32,0.69,0.38,0.02,110.79,13.28,3.93,110.79,18.78,0.0,1.0,0.08,0.0,1.0,0.26,0.0,1.87,0.04,1.87,0.83,1.22,0.8,1.63,0.83,0.8,1.52,0.13,0.0,7.22,0.74,0.26,7.22,6.96,1.12,1.758214943,0,0,0,Slow,436,436,244.6666667,6.62,-460.8672191,244,15.76,0.471,4,301.5,28,6.954022989,5.25,0.1,0.05,,5.223151250000003,10.763309249999997,SectorTime outside section-specific IQR limits
P098,"Laguna_Seca, Laguna_Seca",", McLaren 720S GT3","24/08/2024, ",Lap 5,114.002,Str 0-1 (End),10.818,0.0,100.0,23.0,0.0,5.0,30.0,89.5,193.1,148.2,178.0,89.5,28.8,-2.54,0.3,-0.56,-0.42,-2.54,0.52,-1.96,37.12,6.21,3.34,37.12,6.69,0.0,100.0,53.0,100.0,32.0,38.0,1.46,0.39,0.27,1.46,0.3,0.0,1.41,0.54,0.31,0.05,0.38,0.02,66.42,11.59,6.21,66.42,11.86,0.0,1.0,0.03,0.0,1.0,0.18,0.0,27.17,0.05,27.17,0.35,1.27,0.48,0.83,0.49,0.48,0.66,0.04,0.0,2.54,0.57,0.42,2.54,2.12,0.5,0.808710472,0,0,0,Slow,436,436,193.5,4.86,-589.2744945,194,25.965,4.864,7,234.5,32,3.521939954,5.0,0.16,0.08,,5.223151250000003,10.763309249999997,SectorTime outside section-specific IQR limits
P084,"Laguna_Seca, Laguna_Seca",", McLaren 720S GT3","8/27/2023, ",Lap 2,114.644,Str 0-1 (End),11.014584,1.3,0.38,0.2,1.21,0.35,0.0,0.92,0.24,0.32,0.58,0.17,0.0,48.23,10.55,4.01,45.21,10.55,0.0,54.0,6.0,0.0,30.0,12.0,91.6,180.1,143.8,175.6,91.6,23.9,0.0,0.0,0.0,0.0,0.0,0.0,-1.99,0.47,-0.49,-0.26,-1.29,0.56,-7.0,30.2,5.46,1.75,27.92,6.84,0.0,98.0,6.0,98.0,0.0,22.0,0.0,4.9,0.01,4.9,0.0,0.53,0.28,0.28,0.28,0.28,0.0,0.0,0.0,1.99,0.52,0.26,1.29,1.03,0.53,0.851533224,0,1,0,Slow,436,436,4.0,0.14,-250.1140173,4,30.33,5.596,10,321.5,37,2.064220183,10.83333333,0.29,0.15,,5.223151250000003,10.763309249999997,SectorTime outside section-specific IQR limits
P081,"Laguna_Seca, Laguna_Seca",", McLaren 720S GT3","8/27/2023, ",Lap 2,118.332,Str 0-1 (End),11.56802,1.25,0.29,0.28,1.04,0.26,0.0,1.5,0.45,0.38,0.04,0.41,0.0,95.59,9.94,9.18,95.59,13.25,0.0,100.0,16.0,0.0,0.0,31.0,78.8,176.2,135.8,159.6,78.8,33.4,0.0,1.0,0.03,0.0,1.0,0.18,-4.88,0.15,-0.5,-0.56,-4.88,0.69,-1.43,36.19,4.71,3.13,34.34,5.61,0.0,100.0,31.0,100.0,5.0,43.0,0.0,11.33,0.02,11.33,0.39,0.77,0.64,1.32,0.94,0.93,0.64,0.04,0.0,4.88,0.5,0.56,4.88,4.32,0.68,1.097530589,0,1,0,Slow,436,436,15.0,0.3,-155.3436856,15,13.07,0.526,10,271.3333333,31,4.157088124,8.75,0.28,0.14,,5.223151250000003,10.763309249999997,SectorTime outside section-specific IQR limits
P081,"Laguna_Seca, Laguna_Seca",", McLaren 720S GT3","8/27/2023, ",Lap 3,109.602,Str 0-1 (End),10.93597,1.08,0.37,0.28,0.84,0.3,0.02,0.67,0.17,0.12,0.31,0.16,0.0,44.25,9.09,8.65,44.25,7.2,0.0,33.0,4.0,0.0,13.0,9.0,100.2,165.8,143.9,165.5,100.2,16.3,0.0,1.0,0.01,0.0,1.0,0.08,-2.34,0.68,-0.41,-0.57,-2.34,0.39,-6.73,21.36,4.91,3.78,21.36,5.67,0.0,59.0,12.0,59.0,0.0,12.0,0.0,0.08,0.0,0.0,0.08,1.01,0.0,0.07,0.0,0.0,0.04,0.0,0.0,2.34,0.43,0.57,2.34,1.76,0.36,0.515221209,0,1,0,Slow,436,436,38.0,0.83,-272.8612278,38,14.45,0.554,4,224.0,31,2.183908046,10.91666667,0.3,0.15,,5.223151250000003,10.763309249999997,SectorTime outside section-specific IQR limits
P079,"Laguna_Seca, Laguna_Seca",", McLaren 720S GT3","8/27/2023, ",Lap 3,126.199,Str 0-1 (End),11.964415,1.54,0.38,0.62,1.37,0.29,0.0,0.55,0.16,0.11,0.48,0.13,0.02,165.5,14.51,9.83,165.5,22.84,0.0,47.0,4.0,0.0,46.0,9.0,91.2,159.6,133.2,159.6,91.2,17.8,0.0,1.0,0.05,0.0,1.0,0.22,-11.7,1.25,-0.7,-0.39,-11.7,1.61,-10.64,41.7,5.17,8.83,37.25,8.62,0.0,69.0,11.0,23.0,0.0,13.0,0.0,7.91,0.03,7.91,0.61,1.34,0.54,1.48,0.9,0.88,0.54,0.08,0.0,11.7,0.77,0.39,11.7,11.31,1.57,1.622276052,0,1,0,Slow,436,436,4.0,0.14,-334.01803,4,19.05,0.677,13,620.0,31,8.908045977,8.75,0.3,0.16,,5.223151250000003,10.763309249999997,SectorTime outside section-specific IQR limits
P079,"Laguna_Seca, Laguna_Seca",", McLaren 720S GT3","8/27/2023, ",Lap 4,119.832,Str 0-1 (End),11.203961,1.47,0.4,0.57,1.47,0.37,0.0,0.95,0.19,0.02,0.49,0.24,0.02,86.86,12.22,18.27,86.86,14.04,0.0,49.0,7.0,0.0,31.0,13.0,89.1,164.7,141.3,164.7,89.1,21.3,0.0,1.0,0.04,0.0,1.0,0.19,-4.55,1.41,-0.49,-1.19,-4.55,0.83,-15.55,39.32,5.31,8.64,39.14,8.69,0.0,66.0,16.0,46.0,0.0,16.0,0.0,7.14,0.02,7.14,0.43,0.98,0.04,0.58,0.17,0.17,0.04,0.05,0.0,4.55,0.56,1.19,4.55,3.36,0.74,1.197583747,0,0,0,Slow,436,436,82.0,2.16,-455.3108238,82,18.46,0.038,16,473.5,33,3.956422018,8.0,0.2,0.1,,5.223151250000003,10.763309249999997,SectorTime outside section-specific IQR limits
P079,"Laguna_Seca, Laguna_Seca",", McLaren 720S GT3","8/27/2023, ",Lap 6,131.557,Str 0-1 (End),13.157737,1.34,0.31,0.53,1.24,0.32,0.0,0.92,0.21,0.01,0.02,0.26,0.0,70.0,11.08,13.6,62.01,13.89,0.0,48.0,7.0,0.0,0.0,14.0,71.9,158.2,121.5,158.2,82.2,31.6,0.0,1.0,0.05,0.0,1.0,0.21,-3.06,0.94,-0.47,-0.74,-2.04,0.68,-7.54,33.86,4.99,9.15,32.23,7.36,0.0,66.0,18.0,38.0,16.0,14.0,0.0,6.72,0.02,6.72,0.64,1.0,0.22,0.85,0.23,0.22,0.66,0.08,0.0,3.06,0.52,0.74,2.04,1.3,0.64,1.979665932,0,0,0,Slow,436,436,228.0,5.7,-711.2621325,228,19.5,0.714,16,425.0,36,2.083333317,10.5,0.32,0.16,,5.223151250000003,10.763309249999997,SectorTime outside section-specific IQR limits
P072,"Laguna_Seca, Laguna_Seca",", McLaren 720S GT3","8/27/2023, ",Lap 2,114.994,Str 0-1 (End),11.924753,1.74,0.51,0.21,1.49,0.41,0.0,1.28,0.32,0.25,0.32,0.31,0.0,114.01,14.49,7.44,114.01,20.68,0.0,68.0,12.0,0.0,26.0,18.0,98.6,195.5,166.7,181.0,98.6,30.9,0.0,1.0,0.08,0.0,1.0,0.26,-7.28,0.18,-0.85,-0.52,-7.28,1.28,-0.48,39.53,7.36,3.25,37.32,8.39,0.0,92.0,30.0,90.0,0.0,36.0,0.0,1.7,0.03,1.7,0.72,1.18,0.0,0.72,0.03,0.0,0.67,0.11,0.0,7.28,0.86,0.52,7.28,6.76,1.27,0.874878961,0,1,0,Slow,436,436,118.6,2.36,-252.3752665,121,17.29,0.451,3,294.0,22,6.733021077,42.2,1.31,0.68,,5.223151250000003,10.763309249999997,SectorTime outside section-specific IQR limits
